,wall_time,step,value,log_dir,tag,dataset,resolution,model_step,sampler,inference_time,vae,fad_model,reference_dataset
71,1716267671.5393724,0,49.42609405517578,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_encodec-emb-48k_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddim,0.0743,False,encodec-emb-48k,spotify_sleep_dataset
72,1716267715.6179178,0,198.36251831054688,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_encodec-emb_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddim,0.0743,False,encodec-emb,spotify_sleep_dataset
73,1716267770.8295403,0,53.47834777832031,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_MERT-v1-95M_ref_spotify_sleep_dataset_gen_None,ssd,"64,64",40000,ddim,0.0743,False,MERT-v1-95M,spotify_sleep_dataset
74,1716267773.6755915,0,1.0293253660202026,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_fma_pop_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-audio,fma_pop
75,1716267776.4997463,0,1.0425629615783691,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_fma_pop_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-music,fma_pop
76,1716267800.571131,0,171.0209503173828,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_encodec-emb-48k_ref_fma_pop_gen_None,ssd,"64,64",40000,ddim,0.0743,False,encodec-emb-48k,fma_pop
77,1716267803.0050793,0,537.4163208007812,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_encodec-emb_ref_fma_pop_gen_None,ssd,"64,64",40000,ddim,0.0743,False,encodec-emb,fma_pop
78,1716267806.2683675,0,52.7119255065918,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_MERT-v1-95M_ref_fma_pop_gen_None,ssd,"64,64",40000,ddim,0.0743,False,MERT-v1-95M,fma_pop
79,1716267809.0159588,0,1.0053696632385254,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-audio_ref_musiccaps_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-audio,musiccaps
80,1716267811.8233259,0,1.067980408668518,../hpc_tensorboard/models/ssd_64_64/model_step_40000/samples/sch_ddim_nisteps_100,fad_clap-laion-music_ref_musiccaps_gen_None,ssd,"64,64",40000,ddim,0.0743,False,clap-laion-music,musiccaps
