,wall_time,step,value,dataset,resolution,model_step,sampler,fad_model,reference_dataset
187,1716266883.1993887,0,790.4324951171875,ds,"64,64",20000,ddpm,encodec-emb,fma_pop
188,1716266886.6075,0,60.632957458496094,ds,"64,64",20000,ddpm,MERT-v1-95M,fma_pop
189,1716266889.2655137,0,1.1296192407608032,ds,"64,64",20000,ddpm,clap-laion-audio,musiccaps
190,1716266891.9055817,0,1.0928897857666016,ds,"64,64",20000,ddpm,clap-laion-music,musiccaps
191,1716266911.9213445,0,84.8293685913086,ds,"64,64",20000,ddpm,encodec-emb-48k,musiccaps
192,1716266914.3124275,0,632.3307495117188,ds,"64,64",20000,ddpm,encodec-emb,musiccaps
193,1716266917.4384525,0,52.63169860839844,ds,"64,64",20000,ddpm,MERT-v1-95M,musiccaps
194,1716266789.654092,0,0.26901718974113464,ds,"64,64",20000,ddim,clap-laion-audio,drum_samples
195,1716266799.9267902,0,0.31046441197395325,ds,"64,64",20000,ddim,clap-laion-music,drum_samples
196,1716266828.9847906,0,11.892841339111328,ds,"64,64",20000,ddim,encodec-emb-48k,drum_samples
197,1716266837.7599177,0,47.100223541259766,ds,"64,64",20000,ddim,encodec-emb,drum_samples
198,1716266853.7430487,0,24.20903778076172,ds,"64,64",20000,ddim,MERT-v1-95M,drum_samples
199,1716266856.6548336,0,1.22274911403656,ds,"64,64",20000,ddim,clap-laion-audio,fma_pop
200,1716266859.5532732,0,1.1664907932281494,ds,"64,64",20000,ddim,clap-laion-music,fma_pop
201,1716266882.0849044,0,121.794677734375,ds,"64,64",20000,ddim,encodec-emb-48k,fma_pop
202,1716266884.565286,0,815.3631591796875,ds,"64,64",20000,ddim,encodec-emb,fma_pop
203,1716266887.873081,0,62.16160583496094,ds,"64,64",20000,ddim,MERT-v1-95M,fma_pop
204,1716266890.6294577,0,1.188242793083191,ds,"64,64",20000,ddim,clap-laion-audio,musiccaps
205,1716266893.3510034,0,1.140001654624939,ds,"64,64",20000,ddim,clap-laion-music,musiccaps
206,1716266914.8796766,0,89.25,ds,"64,64",20000,ddim,encodec-emb-48k,musiccaps
207,1716266917.3097293,0,655.7433471679688,ds,"64,64",20000,ddim,encodec-emb,musiccaps
208,1716266920.7019112,0,54.22221374511719,ds,"64,64",20000,ddim,MERT-v1-95M,musiccaps
209,1716266789.6390421,0,0.6701112389564514,ds,"64,64",100,ddim,clap-laion-audio,drum_samples
210,1716266798.9294214,0,0.7633376121520996,ds,"64,64",100,ddim,clap-laion-music,drum_samples
211,1716266830.8885288,0,17.698999404907227,ds,"64,64",100,ddim,encodec-emb-48k,drum_samples
212,1716266840.1128511,0,90.7566146850586,ds,"64,64",100,ddim,encodec-emb,drum_samples
213,1716266854.7137487,0,74.40697479248047,ds,"64,64",100,ddim,MERT-v1-95M,drum_samples
214,1716266857.6991436,0,1.3100708723068237,ds,"64,64",100,ddim,clap-laion-audio,fma_pop
215,1716266860.6210556,0,1.3713059425354004,ds,"64,64",100,ddim,clap-laion-music,fma_pop
216,1716266886.142118,0,146.60797119140625,ds,"64,64",100,ddim,encodec-emb-48k,fma_pop
217,1716266888.7680223,0,828.046630859375,ds,"64,64",100,ddim,encodec-emb,fma_pop
218,1716266892.260431,0,54.13676452636719,ds,"64,64",100,ddim,MERT-v1-95M,fma_pop
219,1716266895.2702327,0,1.2844151258468628,ds,"64,64",100,ddim,clap-laion-audio,musiccaps
220,1716266898.047496,0,1.2846112251281738,ds,"64,64",100,ddim,clap-laion-music,musiccaps
221,1716266921.7085671,0,110.98352813720703,ds,"64,64",100,ddim,encodec-emb-48k,musiccaps
222,1716266924.1891356,0,673.3444213867188,ds,"64,64",100,ddim,encodec-emb,musiccaps
223,1716266927.880731,0,48.12416076660156,ds,"64,64",100,ddim,MERT-v1-95M,musiccaps
224,1716266789.5830564,0,0.670299232006073,ds,"64,64",100,ddpm,clap-laion-audio,drum_samples
225,1716266798.7982483,0,0.7667614221572876,ds,"64,64",100,ddpm,clap-laion-music,drum_samples
226,1716266831.2662501,0,17.80896759033203,ds,"64,64",100,ddpm,encodec-emb-48k,drum_samples
227,1716266839.9410634,0,92.3675308227539,ds,"64,64",100,ddpm,encodec-emb,drum_samples
228,1716266854.795678,0,74.37440490722656,ds,"64,64",100,ddpm,MERT-v1-95M,drum_samples
229,1716266858.0309103,0,1.3062223196029663,ds,"64,64",100,ddpm,clap-laion-audio,fma_pop
230,1716266861.0731804,0,1.3745728731155396,ds,"64,64",100,ddpm,clap-laion-music,fma_pop
231,1716266888.135961,0,146.8280487060547,ds,"64,64",100,ddpm,encodec-emb-48k,fma_pop
232,1716266890.7856636,0,829.5387573242188,ds,"64,64",100,ddpm,encodec-emb,fma_pop
233,1716266894.412656,0,53.785980224609375,ds,"64,64",100,ddpm,MERT-v1-95M,fma_pop
234,1716266897.2209315,0,1.2807329893112183,ds,"64,64",100,ddpm,clap-laion-audio,musiccaps
235,1716266900.0654192,0,1.2903835773468018,ds,"64,64",100,ddpm,clap-laion-music,musiccaps
236,1716266925.1521716,0,111.16693878173828,ds,"64,64",100,ddpm,encodec-emb-48k,musiccaps
237,1716266927.667699,0,674.4637451171875,ds,"64,64",100,ddpm,encodec-emb,musiccaps
238,1716266931.0081735,0,47.607994079589844,ds,"64,64",100,ddpm,MERT-v1-95M,musiccaps
239,1716254284.5241046,0,0.5896009206771851,ds,"256,256",1000,ddpm,clap-laion-audio,drum_samples
240,1716254325.5342672,0,0.8055682182312012,ds,"256,256",1000,ddpm,clap-laion-music,drum_samples
241,1716254346.6840882,0,7.376321315765381,ds,"256,256",1000,ddpm,vggish,drum_samples
242,1716254394.0278761,0,25.915857315063477,ds,"256,256",1000,ddpm,encodec-emb-48k,drum_samples
243,1716254415.7155616,0,99.8392562866211,ds,"256,256",1000,ddpm,encodec-emb,drum_samples
244,1716254441.641743,0,41.02617645263672,ds,"256,256",1000,ddpm,MERT-v1-95M,drum_samples
245,1716254444.5040283,0,1.3052160739898682,ds,"256,256",1000,ddpm,clap-laion-audio,fma_pop
246,1716254447.164105,0,1.2547144889831543,ds,"256,256",1000,ddpm,clap-laion-music,fma_pop
247,1716254449.474544,0,17.927236557006836,ds,"256,256",1000,ddpm,vggish,fma_pop
248,1716254459.7935772,0,166.01837158203125,ds,"256,256",1000,ddpm,encodec-emb-48k,fma_pop
249,1716254462.0942338,0,1021.5653686523438,ds,"256,256",1000,ddpm,encodec-emb,fma_pop
250,1716254465.2618666,0,35.4420280456543,ds,"256,256",1000,ddpm,MERT-v1-95M,fma_pop
251,1716254469.7780366,0,1.242531418800354,ds,"256,256",1000,ddpm,clap-laion-audio,musiccaps
252,1716254477.4777672,0,1.159556269645691,ds,"256,256",1000,ddpm,clap-laion-music,musiccaps
253,1716254479.6352177,0,23.898956298828125,ds,"256,256",1000,ddpm,vggish,musiccaps
254,1716254490.661567,0,128.31417846679688,ds,"256,256",1000,ddpm,encodec-emb-48k,musiccaps
255,1716254492.910541,0,847.6028442382812,ds,"256,256",1000,ddpm,encodec-emb,musiccaps
256,1716254496.29224,0,30.880516052246094,ds,"256,256",1000,ddpm,MERT-v1-95M,musiccaps
257,1716252742.7100167,0,0.5817455053329468,ds,"256,256",1000,ddim,clap-laion-audio,drum_samples
258,1716252817.4782217,0,0.7896207571029663,ds,"256,256",1000,ddim,clap-laion-music,drum_samples
259,1716252845.6250842,0,7.838035583496094,ds,"256,256",1000,ddim,vggish,drum_samples
260,1716252940.925964,0,26.18943977355957,ds,"256,256",1000,ddim,encodec-emb-48k,drum_samples
261,1716252971.2737014,0,104.2894058227539,ds,"256,256",1000,ddim,encodec-emb,drum_samples
262,1716253009.0714915,0,39.81609344482422,ds,"256,256",1000,ddim,MERT-v1-95M,drum_samples
263,1716253011.8552315,0,1.2992533445358276,ds,"256,256",1000,ddim,clap-laion-audio,fma_pop
264,1716253014.5952961,0,1.2489019632339478,ds,"256,256",1000,ddim,clap-laion-music,fma_pop
265,1716253016.9896724,0,18.567302703857422,ds,"256,256",1000,ddim,vggish,fma_pop
266,1716253028.5794096,0,167.45782470703125,ds,"256,256",1000,ddim,encodec-emb-48k,fma_pop
267,1716253030.9577305,0,1037.36767578125,ds,"256,256",1000,ddim,encodec-emb,fma_pop
268,1716253034.3410013,0,35.769771575927734,ds,"256,256",1000,ddim,MERT-v1-95M,fma_pop
