,wall_time,step,value,dataset,resolution,model_step,sampler,vae,num_fad_samples,fad_model,reference_dataset
155,1716685131.4705012,0,5.85368537902832,ssd,256,40000,ddim,,614,vggish,spotify_sleep_dataset
156,1716685135.8584082,0,0.7651264667510986,ssd,256,40000,ddim,,614,clap-laion-audio,fma_pop
157,1716685140.2944343,0,0.8458424210548401,ssd,256,40000,ddim,,614,clap-laion-music,fma_pop
158,1716685144.35757,0,11.272268295288086,ssd,256,40000,ddim,,614,vggish,fma_pop
159,1716685148.1341472,0,0.736089825630188,ssd,256,40000,ddim,,614,clap-laion-audio,musiccaps
160,1716685152.0435035,0,0.8430060148239136,ssd,256,40000,ddim,,614,clap-laion-music,musiccaps
161,1716685155.469112,0,15.277482032775879,ssd,256,40000,ddim,,614,vggish,musiccaps
162,1716684069.7690706,0,0.6195203065872192,ssd,256,40000,ddim,,1228,clap-laion-audio,spotify_sleep_dataset
163,1716684178.6110384,0,0.6071037650108337,ssd,256,40000,ddim,,1228,clap-laion-music,spotify_sleep_dataset
164,1716684355.524414,0,5.624129772186279,ssd,256,40000,ddim,,1228,vggish,spotify_sleep_dataset
165,1716684396.5649586,0,0.7619807124137878,ssd,256,40000,ddim,,1228,clap-laion-audio,fma_pop
166,1716684500.4124954,0,0.8473346829414368,ssd,256,40000,ddim,,1228,clap-laion-music,fma_pop
167,1716684646.248073,0,11.095847129821777,ssd,256,40000,ddim,,1228,vggish,fma_pop
168,1716684731.5017517,0,0.7328773140907288,ssd,256,40000,ddim,,1228,clap-laion-audio,musiccaps
169,1716684806.3198187,0,0.8450368046760559,ssd,256,40000,ddim,,1228,clap-laion-music,musiccaps
170,1716684881.1904078,0,15.123226165771484,ssd,256,40000,ddim,,1228,vggish,musiccaps
171,1716684070.22737,0,0.625709593296051,ssd,256,40000,ddim,,1433,clap-laion-audio,spotify_sleep_dataset
172,1716684186.2663183,0,0.6124593615531921,ssd,256,40000,ddim,,1433,clap-laion-music,spotify_sleep_dataset
173,1716684355.6090217,0,5.737122058868408,ssd,256,40000,ddim,,1433,vggish,spotify_sleep_dataset
174,1716684396.6455834,0,0.7657952308654785,ssd,256,40000,ddim,,1433,clap-laion-audio,fma_pop
175,1716684500.4426858,0,0.8484939336776733,ssd,256,40000,ddim,,1433,clap-laion-music,fma_pop
176,1716684646.3076234,0,11.229470252990723,ssd,256,40000,ddim,,1433,vggish,fma_pop
177,1716684731.473409,0,0.737494170665741,ssd,256,40000,ddim,,1433,clap-laion-audio,musiccaps
178,1716684806.3825321,0,0.8454474806785583,ssd,256,40000,ddim,,1433,clap-laion-music,musiccaps
179,1716684881.2029521,0,15.234278678894043,ssd,256,40000,ddim,,1433,vggish,musiccaps
180,1716684072.235154,0,0.6256094574928284,ssd,256,40000,ddim,,1638,clap-laion-audio,spotify_sleep_dataset
181,1716684189.8668761,0,0.6117372512817383,ssd,256,40000,ddim,,1638,clap-laion-music,spotify_sleep_dataset
182,1716684356.9992635,0,5.771293640136719,ssd,256,40000,ddim,,1638,vggish,spotify_sleep_dataset
183,1716684396.6747646,0,0.7642698287963867,ssd,256,40000,ddim,,1638,clap-laion-audio,fma_pop
184,1716684500.3371334,0,0.8463484644889832,ssd,256,40000,ddim,,1638,clap-laion-music,fma_pop
185,1716684646.277787,0,11.1882963180542,ssd,256,40000,ddim,,1638,vggish,fma_pop
186,1716684731.5299191,0,0.7349878549575806,ssd,256,40000,ddim,,1638,clap-laion-audio,musiccaps
187,1716684806.3481884,0,0.8436493873596191,ssd,256,40000,ddim,,1638,clap-laion-music,musiccaps
188,1716684881.1388538,0,15.185349464416504,ssd,256,40000,ddim,,1638,vggish,musiccaps
189,1716684971.8930955,0,0.6238506436347961,ssd,256,40000,ddim,,204,clap-laion-audio,spotify_sleep_dataset
190,1716685006.4412587,0,0.6152054071426392,ssd,256,40000,ddim,,204,clap-laion-music,spotify_sleep_dataset
191,1716685028.584719,0,5.426454067230225,ssd,256,40000,ddim,,204,vggish,spotify_sleep_dataset
192,1716685031.3820174,0,0.7745198607444763,ssd,256,40000,ddim,,204,clap-laion-audio,fma_pop
193,1716685034.423028,0,0.8666749000549316,ssd,256,40000,ddim,,204,clap-laion-music,fma_pop
194,1716685036.9401245,0,11.166105270385742,ssd,256,40000,ddim,,204,vggish,fma_pop
195,1716685039.642005,0,0.745569109916687,ssd,256,40000,ddim,,204,clap-laion-audio,musiccaps
196,1716685042.3520494,0,0.8628060221672058,ssd,256,40000,ddim,,204,clap-laion-music,musiccaps
197,1716685044.6817505,0,15.376969337463379,ssd,256,40000,ddim,,204,vggish,musiccaps
198,1716684962.1468222,0,0.6981304287910461,ssd,256,40000,ddim,,51,clap-laion-audio,spotify_sleep_dataset
199,1716684992.454204,0,0.679084300994873,ssd,256,40000,ddim,,51,clap-laion-music,spotify_sleep_dataset
200,1716685007.0208027,0,6.4277238845825195,ssd,256,40000,ddim,,51,vggish,spotify_sleep_dataset
201,1716685014.6874223,0,0.8496023416519165,ssd,256,40000,ddim,,51,clap-laion-audio,fma_pop
202,1716685018.3626206,0,0.9303203821182251,ssd,256,40000,ddim,,51,clap-laion-music,fma_pop
203,1716685020.8160808,0,11.853448867797852,ssd,256,40000,ddim,,51,vggish,fma_pop
204,1716685023.8235233,0,0.8282989263534546,ssd,256,40000,ddim,,51,clap-laion-audio,musiccaps
205,1716685026.7401538,0,0.9475290179252625,ssd,256,40000,ddim,,51,clap-laion-music,musiccaps
206,1716685029.5379736,0,16.182842254638672,ssd,256,40000,ddim,,51,vggish,musiccaps
207,1716684978.8265584,0,0.6274271607398987,ssd,256,40000,ddim,,409,clap-laion-audio,spotify_sleep_dataset
208,1716685018.8133335,0,0.6117863655090332,ssd,256,40000,ddim,,409,clap-laion-music,spotify_sleep_dataset
